city,state,lat,lng
Aztec,NM,36.8220629,-107.9928992
Webster,NY,43.2122851,-77.4299939
Tabor City,NC,34.1487804,-78.8766916
Pittsburgh,PA,40.4416941,-79.9900861
Darlington,SC,34.2998762,-79.8761741
Milledgeville,GA,33.0801429,-83.2320991
Bellaire,TX,29.7076452,-95.46006694
Odessa,TX,31.8457149,-102.367687
Stephens City,VA,39.0834398,-78.2180567
Bellevue,WA,47.5990002,-122.1563996
Wauwatosa,WI,43.0494122,-88.0079271
Mansfield,LA,32.0376629,-93.7001819
El Sereno,CA,34.0811213,-118.1778495
Jena,LA,31.6832271,-92.1337448
Carson,CA,33.8394267,-118.2470316
Orrville,AL,34.6673132,-86.9769524
Joint Base Elmendorf-Richardson,AK,61.2207463,-149.6218062
Pasadena,CA,34.18455365,-118.1735599
Pueblo,CO,38.2014515,-104.5798871
Glen Burnie,MD,39.1626298,-76.6250756
Taneytown,MD,39.6578773,-77.1744279
Pontiac,MI,42.6389216,-83.2910468
Billings,MT,45.7874957,-108.49607
Santa Fe County,NM,35.3278207,-105.7201939
Mahanoy City,PA,40.8125881,-76.1416034
Norristown,PA,40.121497,-75.3399048
Vermillion,SD,42.7794417,-96.9292104
Newbury,VT,44.0792316,-72.0584234
Knott County,KY,37.3492525,-82.93784858
Clifton,NJ,40.8584328,-74.1637553
Ashland City,TN,36.2742207,-87.0641699
Franklin County,MO,38.457697,-91.05245379
Houma,LA,29.5957696,-90.7195348
Broward,FL,26.0572981,-80.2074402
Fort Pierce,FL,27.4288232,-80.34139261
Pembroke Park,FL,25.98453385,-80.17639416
Kinston,NC,35.2626635,-77.5816353
Altoona,PA,40.518681,-78.394736
Dove Creek,TX,30.5056054,-97.6717672
Charlottesville,VA,38.029306,-78.4766781
Spokane,WA,47.6588603,-117.4247134
Fairfield,TX,31.7164755,-96.17288478
Capitol Heights,MD,38.8853963,-76.9159441
Montgomery,AL,32.343799,-86.27316602
N Little Rock,AR,34.7554325,-92.15977738
Stockton,CA,37.9577016,-121.2907796
Walnut Creek,CA,37.894375,-122.0364388
Greenwood Village,CO,39.60959,-104.929576
Augusta,GA,33.4709714,-81.9748429
Knox County,KY,36.8934427,-83.8545725
Jefferson City,MO,38.5767026,-92.1735165
Gallup,NM,35.521549,-108.7512163
Clinton,OK,35.5156056,-98.9673069
Myrtle Beach,SC,33.6955167,-78.8817622
Pineville,SC,33.4282228,-80.0292462
Abilene,TX,32.4838865,-99.71564957
West Bexar County,TX,29.4200763,-98.5721016
Sterling,VA,39.0016194,-77.4032011
Virginia Beach,VA,36.7956695,-76.05105148
Index,WA,47.8208311,-121.5538914
Cibolo,TX,29.561618,-98.2269553
Douglas County,CO,39.34801765,-104.9170867
Fairbanks,AK,64.829002,-147.6699167
Hawthorne,CA,33.9140135,-118.3440556
Avondale,AZ,33.4359181,-112.3405052
Peoria,AZ,33.5766205,-112.2398262
Moreno Valley,CA,33.921961,-117.2001073
Fort Myers,FL,26.640628,-81.8723084
DeKalb County,GA,33.79274945,-84.22015372
Gainesville,GA,34.2435175,-83.82786602
Prairieville,LA,30.3029721,-90.9720451
Gloucester,NJ,39.8025,-75.0447222
Durham,NC,35.9940329,-78.898619
Wake Forest,NC,35.9798734,-78.5097228
Hamilton,OH,39.3995067,-84.5613428
Fort Worth,TX,32.693397,-97.47067092
Paris,TX,33.6751155,-95.55026625
Palmview,TX,26.2283965,-98.36749677
Johnson,VT,44.6356063,-72.6803979
Martinsburg,WV,39.4562099,-77.9638869
Watsonville,CA,36.88707915,-121.7854002
Fort Smith,AR,35.3857623,-94.3986725
Turlock,CA,37.501842,-120.845998
Lafayette County,AR,33.2503435,-93.593386
Jupiter,FL,26.9248374,-80.08707374
Hilo,HI,19.7067972,-155.0813821
Des Moines,IA,41.5910641,-93.6037149
Wichita,KS,37.6922361,-97.3375448
Monroe,LA,32.5093109,-92.1193012
Biddeford,ME,43.4925843,-70.4533844
Brockton,MA,42.0834335,-71.0183787
Bedford Township,MI,42.39528,-85.23222
Missoula,MT,46.8795445,-113.9214345
Reno,NV,39.52927,-119.8136744
Jersey City,NJ,40.7281575,-74.0776417
Kenefic,OK,34.148149,-96.3622146
McLoud,OK,35.4358996,-97.0914163
Reading,PA,40.3364587,-75.9288612
South Londonderry,PA,40.2403764,-76.5372625
Springettsbury,PA,39.9949864,-76.675922
Torrance,PA,40.4172913,-79.2228123
Richland County,SC,33.8071004,-80.6372094
Beeville,TX,28.40995,-97.74800068
Denton County,TX,33.0265105,-96.8635139
Garland,TX,32.912624,-96.6388833
King and Queen County,VA,37.7196754,-76.8794158
District Heights,MD,38.8576128,-76.8894171
Ladysmith,WI,45.4630231,-91.1040358
Austin,TX,30.2718065,-97.80359592
Marion County,FL,29.240728,-82.02275745
Palmdale,CA,34.585428,-118.1243215
Las Yescas,TX,26.2228516,-97.5058182
Garland City,AR,33.3596803,-93.7098502
Sitka,AK,57.073204,-135.3096556
Escondido,CA,33.1216751,-117.0814849
Livermore,CA,37.731528,-121.731063
Marietta,GA,33.952602,-84.5499327
Smyrna,GA,33.8839926,-84.5143761
Milan,IN,39.1211656,-85.1313464
Frankfort,KY,38.2009055,-84.8732836
Flint,MI,43.0171773,-83.7236024
Lancaster County,NE,40.7768326,-96.7111039
Clovis,NM,34.4047987,-103.2052272
Turkey,NC,34.9923888,-78.183049
Warrenton,NC,36.3984804,-78.1552706
Bennettsville,SC,34.6173803,-79.6847814
Alton,TX,26.2773795,-98.28839275
Hearne,TX,30.87819,-96.59564691
Montgomery County,TX,30.1791039,-95.1623323
Rogers,AR,36.3076935,-94.08133943
Gilroy,CA,37.0092712,-121.589923
San Jose,CA,37.3438502,-121.8831349
Champaign,IL,40.1164205,-88.2433829
Elkton,MD,39.6065545,-75.81580023
Omaha,NE,41.2587317,-95.9378732
Rio Arriba County,NM,36.1225247,-105.7832504
Syracuse,NY,43.0481221,-76.1474244
Hermiston,OR,45.8404101,-119.2894605
Ravenel,SC,32.7632321,-80.2500986
Killeen,TX,31.1171194,-97.7277959
Richford,VT,44.9969898,-72.6712423
Tuscaloosa,AL,33.2762256,-87.0671165
Tyler,TX,32.330625,-95.30742082
LaPlace,LA,30.0665907,-90.4800848
Los Feliz,CA,34.1043459,-118.2914281
Aberdeen,SD,45.4646985,-98.4864829
El Sobrante,CA,37.9774476,-122.2949894
Madera,CA,36.942141,-120.1714521
Fort Lauderdale,FL,26.1223084,-80.1433786
Volusia County,FL,29.0279842,-81.0754657
Aiken County,GA,33.6005783,-81.6035062
Lansing,MI,42.7337712,-84.5553805
Trenton,NJ,40.2170575,-74.7429463
Farmington,NM,36.7304288,-108.2089191
Clayton,NC,35.650711,-78.4563914
Elizabeth City,NC,36.2946008,-76.2510461
Fayetteville,NC,35.0529931,-78.8787058
Lorain,OH,41.452819,-82.1823746
Warren,OH,41.2375569,-80.8184166
Columbia,SC,34.0872775,-80.98114974
Onida,SD,44.7080379,-100.059845
Dickson,TN,36.0744719,-87.3385654
Flower Mound,TX,33.036426,-97.11653707
Alamo,TX,26.1822255,-98.11502875
Corpus Christi,TX,27.823713,-97.41739794
Highland Village,TX,33.09461,-97.05772077
Granbury,TX,32.433278,-97.759011
Gordon,WI,46.2468856,-91.7985218
Waukesha County,WI,43.0622536,-88.3123889
Shingletown,CA,40.502371,-121.8733185
Miami Gardens,FL,25.9420978,-80.23975396
Dexter,MO,36.7958866,-89.9578688
Panama City Beach,FL,30.1765914,-85.8054879
Citrus Heights,CA,38.6931659,-121.2936481
Tallahassee,FL,30.4380832,-84.2809332
Austell,GA,33.8126059,-84.6343783
Paterson,NJ,40.9167654,-74.171811
Mankato,MN,44.1634663,-93.9993505
Bradenton,FL,27.4989278,-82.5748194
Warwick,PA,40.1623168,-76.3069013
Pine Bluff,AR,34.210538,-92.01652905
Pacific Palisades,CA,34.0480643,-118.5264706
Rancho Cordova,CA,38.5676485,-121.2232493
San Diego,CA,32.7469869,-117.21177
Boulder,CO,40.0149856,-105.2705456
Elbert County,GA,34.1106692,-82.6953123
Hayden,ID,47.7660161,-116.7865815
Carnesville,GA,34.3698266,-83.235155
Salisbury,MD,38.3662114,-75.6008881
Bethany,OK,35.512678,-97.64303937
Johnstown,PA,40.3267407,-78.9219698
Quincy,IL,39.9356016,-91.4098727
El Paso County,CO,38.8243655,-104.5602288
Tabor,NC,36.1190265,-80.3194962
Loris,SC,34.0562812,-78.8903044
Duluth,MN,46.7729322,-92.1251218
Crystal Lake,IL,42.2411344,-88.3161965
Huntsville,AL,34.762807,-86.68402737
Tollhouse,CA,37.018838,-119.3992957
Boca Raton,FL,26.3586885,-80.0830984
Miami-Dade County,FL,25.7889689,-80.2264393
Ocala,FL,29.1700175,-82.13916387
Edwardsville,IL,38.8114364,-89.953157
Mattoon,IL,39.4842821,-88.3773279
Gladstone,MO,39.2038918,-94.554677
Manhattan,NY,40.7902778,-73.9597222
Raleigh,NC,35.7803888,-78.6390587
Muskogee,OK,35.7478769,-95.3696909
Varnado,LA,30.8937963,-89.8295203
East Huntingdon,PA,40.1444301,-79.582819
Muhlenberg,PA,40.3831486,-75.9388201
York,PA,39.962398,-76.727392
Hampton,VA,37.0298687,-76.3452218
Hahira,GA,30.9913064,-83.3726575
Irvington,NJ,40.7323235,-74.2348684
Knoxville,TN,35.9584625,-83.9520189
Kentwood,MI,42.8694731,-85.6447492
Snellville,GA,33.857328,-84.0199108
Bethalto,IL,38.9092138,-90.0406608
Monterey,CA,36.5845085,-121.866819
Surprise,AZ,33.6305938,-112.333216
Ash Flat,AR,36.2239566,-91.6084751
South Lake Tahoe,CA,38.92880455,-119.9878315
Ventura County,CA,34.240837,-118.6369332
Aurora,CO,39.565936,-104.7443713
Laurel,DE,38.5980535,-75.55826674
Lexington,KY,38.0464066,-84.4970393
Baltimore County,MD,39.2846027,-76.62047203
Belding,MI,43.0978095,-85.228906
Taylor,MI,42.240872,-83.2696509
North Las Vegas,NV,36.1988597,-115.1175031
Asheville,NC,35.6009498,-82.5540161
Wake County,NC,35.8243208,-78.3146199
Gold Beach,OR,42.4073334,-124.421774
Salem,OR,44.9391565,-123.033121
Seneca,SC,34.6865321,-82.9527288
Newport News,VA,36.9787588,-76.428003
Renton,WA,47.481545,-122.1898114
Hopkinsville,KY,36.8656009,-87.4886186
Palm Bay,FL,28.0331886,-80.6429695
Burlingame,CA,37.58788275,-122.3627417
Mont Vernon,NH,42.8945294,-71.6742394
Iva,SC,34.3064967,-82.663743
Auburn,CA,38.89575015,-121.0716327
El Dorado County,CA,38.851018,-119.9339696
Bellwood,IL,41.8814197,-87.883117
Garyville,LA,30.056035,-90.6192554
Oakland County,MI,42.6618842,-83.3804439
Snook,TX,30.488816,-96.4644102
Appleton,WI,44.2611337,-88.4067604
Portland,OR,45.5202471,-122.6741949
Rapid City,SD,44.0805434,-103.2310149
Chesterfield,VA,37.2148597,-79.9839263
Dinwiddie,VA,37.0779278,-77.586655
Rochester,IN,41.0647645,-86.2158331
Casper,WY,42.866632,-106.313081
Crowley,TX,32.5767335,-97.35852314
Euless,TX,32.84610745,-97.06673834
Salyersville,KY,37.7525922,-83.0687816
Rutherford County,NC,35.393858,-81.912914
Lewisburg,WV,37.8017879,-80.4456303
Salinas,CA,36.6604725,-121.6844268
Lancaster,TX,32.598302,-96.77512111
Lealman,FL,27.8211366,-82.6792661
Liberty City,FL,25.8317637,-80.2167149
Hoosick,NY,42.8625783,-73.3281661
Slidell,LA,30.2751945,-89.7811745
Port Deposit,MD,39.6048327,-76.1152289
Greensboro,NC,36.0726355,-79.7919754
Wadesboro,NC,34.9682097,-80.0767266
Pleasant Valley,AL,34.0014863,-86.1271972
Adelanto,CA,34.579452,-117.3364734
Norwich,CT,41.549491,-72.08922807
Lake Worth,FL,26.62014255,-80.06294146
Rockmart,GA,34.0026005,-85.0416133
Passiac,NJ,40.8567662,-74.1284764
Porter,IN,41.6155937,-87.0741995
Greenbrier County,WV,37.9771195,-80.40126155
Cranesville,WV,39.5531434,-79.4947668
Pomona,CA,34.0552886,-117.7522793
Tamarac,FL,26.20468505,-80.27106121
Tampa,FL,27.9477595,-82.458444
Kansas City ,KS,39.1078505,-94.7343196
Somerset,KY,37.0920222,-84.6041084
New Castle County,DE,39.5649955,-75.64767074
Cambridge,OH,40.031183,-81.5884561
Williamsport,PA,41.2493292,-77.0027671
Glendale,CA,34.1423455,-118.2483671
French Village,MO,37.9725528,-90.3898452
Hornbeak,TN,36.3311777,-89.2964595
Greenland,AR,35.996819,-94.18753643
Calico Rock,AR,36.1195143,-92.1359867
Fremont,CA,37.5482697,-121.9885719
King City,CA,36.226628,-121.1585674
Lafayette,IN,40.4167022,-86.8752869
Mayetta,KS,39.3388851,-95.7224828
Frederick,MD,39.414443,-77.4105783
Joplin,MO,37.0710595,-94.46060609
Asbury Park,NJ,40.2203907,-74.0120817
Lynbrook,NY,40.6548253,-73.6717969
The Village,OK,35.5690425,-97.55743137
Allentown,PA,40.6022032,-75.4716219
Calhoun City,MS,33.8553915,-89.3114613
Little Elm,TX,33.1626194,-96.9375051
Man,WV,37.7398294,-81.8776191
Pike County,GA,33.0885545,-84.38285754
Chattanooga,TN,35.0737835,-85.10682141
Bemidji,MN,47.4786541,-94.890802
Grapevine,KY,37.3000449,-87.4858321
Gardendale,AL,33.6601033,-86.8127702
Little Rock,AR,34.7464809,-92.2895948
Cobb County,GA,33.915655,-84.58145629
Marin City,CA,37.868538,-122.5091404
Rancho Cucamonga,CA,34.1242304,-117.5655646
Santa Ana,CA,33.7490525,-117.8620053
Key West,FL,24.5801765,-81.7468702
Clayton County,GA,33.4362245,-84.3142675
Rincon,GA,32.2960289,-81.2353905
Calhokia,IL,38.5708849,-90.1901113
Yorkville,IL,41.6411409,-88.4472948
Marion,IN,40.5583739,-85.6591442
St Rose,LA,29.9468716,-90.3231349
Inkster,MI,42.2942045,-83.3099303
West St Paul,MN,44.9160768,-93.1016074
Mount Holly,NC,35.2981943,-81.0159081
Wilson,NC,35.7212689,-77.9155395
Cushing,OK,35.9850639,-96.76697
Owasso,OK,36.2695388,-95.8547119
Forward,PA,40.1314667,-78.8647451
McKeesport,PA,40.3478472,-79.864215
Norfolk,VA,36.8468146,-76.2852183
English,IN,38.3345045,-86.4641498
Newton,IL,38.9904607,-88.1618716
Sorrento,LA,30.1843642,-90.8592632
South Tucson,AZ,32.199521,-110.968425
Apopka,FL,28.741245,-81.53442927
Breckenridge,MO,39.7622337,-93.8043822
East St Louis,IL,38.6244952,-90.1509429
San Antonio,TX,29.4246002,-98.4951405
Marblemount,WA,48.527619,-121.4495729
Pinch,WV,38.4087094,-81.4817876
Montcalm,WV,37.3540054,-81.2525994
Osmond,NE,42.3600032,-97.5967282
East Palo Alto,CA,37.4688273,-122.1410751
Hempstead,NY,40.7062128,-73.6187397
Grand Prairie,TX,32.65764395,-97.02856897
Heber Springs,AR,35.5068385,-92.0169177
Phenix City,AL,32.4709761,-85.0007653
Corona,CA,33.8594315,-117.5511917
Farmersville,CA,36.2977283,-119.2067767
Santa Maria,CA,34.9323829,-120.4537936
Archer,FL,29.5299677,-82.5189969
Indialantic,FL,28.0894599,-80.5656079
Valdosta,GA,30.8327022,-83.2784851
Willisburg,KY,37.8097892,-85.126347
Senath,MO,36.1342336,-90.1598183
Sidney,NE,41.1438296,-102.9772835
East Orange,NJ,40.767323,-74.2048677
Rural Hall,NC,36.2404158,-80.2933838
Atwater,OH,41.0239467,-81.163433
Oakley,OH,39.1536707,-84.424941
East Liberty,PA,40.4620685,-79.9239522
Kingston,TN,35.8809084,-84.5085447
Spokane County,WA,47.2648989,-117.0603557
Adams County,CO,39.8714085,-104.2701374
El Portal,FL,25.8553739,-80.193103
Hollywood,FL,26.04042985,-80.18416508
Decatur,GA,33.7737582,-84.296069
New Bavaria,OH,41.2036599,-84.1682781
Lewisville,TX,33.042576,-96.96628973
Brewster,NY,41.3973335,-73.6171915
Panola County,MS,34.3731623,-89.7319317
Greensburg,IN,39.3372722,-85.483581
Haines,FL,28.1120191,-81.63119461
Winder,GA,33.991042,-83.71837301
Baxter County,AR,36.2428453,-92.1611652
Angeles National Forest,CA,34.141436,-117.798525
Galt,CA,38.300719,-121.3309434
Waikiki,HI,21.2792788,-157.8285405
Melrose Park,IL,41.9005865,-87.8567277
Hazard,KY,37.24954,-83.1932284
Kinloch,MO,38.7406065,-90.3253922
Norwalk,CT,41.0958545,-73.42053899
Stone Oak,TX,29.6437381,-98.4952228
Ahwatukee,AZ,33.3417137,-111.984033
Sandy Springs,GA,33.878567,-84.44331814
Erin,TN,36.3209612,-87.6975827
Pocatello,ID,42.8688613,-112.4401098
Fort Branch,IN,38.2511558,-87.5811332
Wapato,WA,46.4476278,-120.4203382
Arkadelphia,AR,34.134076,-93.06940144
Calhoun,GA,31.5040637,-84.4534229
Mesa,AZ,33.436568,-111.5860665
Hernandez,NM,36.0628001,-106.1194685
Dumfries,VA,38.5676202,-77.3280382
Belle Glade,FL,26.67205525,-80.68250333
Gaylord,MI,45.0275126,-84.6747523
Pearland,TX,29.547838,-95.38383938
Arlington,TX,32.701843,-97.13997598
Wilkes-Barre,PA,41.2464824,-75.8817316
Keller,TX,32.9357105,-97.22896927
Fort Ann,NY,43.4142375,-73.4876124
Connell,WA,46.6634733,-118.8611117
Comal County,TX,29.8180854,-98.2889578
Kearny,NJ,40.7684342,-74.1454214
Rosemont,CA,38.5475445,-121.3565067
North Mankato,MN,44.1848485,-94.03951504
Tulare,CA,35.6521754,-118.3224811
Cleburne,TX,32.357629,-97.40859189
Oak Hill,WV,37.9723339,-81.1487136
South Pasadena,FL,27.7550276,-82.7376009
Matthews,NC,35.1168131,-80.7236804
Roanoke Rapids,NC,36.4615395,-77.6541464
Tequesta,FL,26.96085215,-80.08919263
Vancouver,WA,45.6306954,-122.6744557
Olathe,KS,38.8843867,-94.8161127
Hilltown,PA,40.3421681,-75.255433
Benton Harbor,MI,42.1167065,-86.4541894
Coarsegold,CA,37.2621687,-119.7009834
Kelseyville,CA,38.9779531,-122.8394375
Tillamook,OR,45.0701116,-123.7266793
Rockville,MD,39.0840054,-77.1527573
Laguna Nigel,CA,38.83024945,-121.0914822
Denton,TX,33.2375905,-97.13066098
Clarkesville,GA,34.6125971,-83.5248933
Thomasville,NC,35.8826369,-80.0819879
Gresham,OR,45.5067406,-122.4367058
San Leandro,CA,37.704815,-122.1675374
McDonough,GA,33.4473361,-84.1468616
Rosewood,FL,29.2391314,-82.9320641
South Valley,NM,35.0100487,-106.6780809
Idaho Falls,ID,43.493873,-112.0846153
Humboldt County,CA,40.7335541,-123.8792115
Lake City,AR,35.821246,-90.45981603
Moscow,ID,46.7323875,-117.0001651
Picayune,MS,30.5266,-89.67922824
Mulberry Grove,IL,41.9908677,-88.3347128
Fort Washington,MD,38.7073379,-77.0230314
